g 96 0.
I 1.54
H Facetta asscher - square step cut
F authored from conventional asscher proportions
a 50.00 0.76604 96 n pav-step-1-az0
a 50.00 0.85585 12 n pav-step-1-az45
a 50.00 0.76604 24 n pav-step-1-az90
a 50.00 0.85585 36 n pav-step-1-az135
a 50.00 0.76604 48 n pav-step-1-az180
a 50.00 0.85585 60 n pav-step-1-az225
a 50.00 0.76604 72 n pav-step-1-az270
a 50.00 0.85585 84 n pav-step-1-az315
a 42.00 0.79630 96 n pav-step-2-az0
a 42.00 0.87475 12 n pav-step-2-az45
a 42.00 0.79630 24 n pav-step-2-az90
a 42.00 0.87475 36 n pav-step-2-az135
a 42.00 0.79630 48 n pav-step-2-az180
a 42.00 0.87475 60 n pav-step-2-az225
a 42.00 0.79630 72 n pav-step-2-az270
a 42.00 0.87475 84 n pav-step-2-az315
a 90.00 1.00000 96 n girdle
a 90.00 1.11723 12 n girdle
a 90.00 1.00000 24 n girdle
a 90.00 1.11723 36 n girdle
a 90.00 1.00000 48 n girdle
a 90.00 1.11723 60 n girdle
a 90.00 1.00000 72 n girdle
a 90.00 1.11723 84 n girdle
a 46.00 0.75407 96 n crown-step-1-az0
a 46.00 0.83840 12 n crown-step-1-az45
a 46.00 0.75407 24 n crown-step-1-az90
a 46.00 0.83840 36 n crown-step-1-az135
a 46.00 0.75407 48 n crown-step-1-az180
a 46.00 0.83840 60 n crown-step-1-az225
a 46.00 0.75407 72 n crown-step-1-az270
a 46.00 0.83840 84 n crown-step-1-az315
a 37.00 0.66958 96 n crown-step-2-az0
a 37.00 0.74013 12 n crown-step-2-az45
a 37.00 0.66958 24 n crown-step-2-az90
a 37.00 0.74013 36 n crown-step-2-az135
a 37.00 0.66958 48 n crown-step-2-az180
a 37.00 0.74013 60 n crown-step-2-az225
a 37.00 0.66958 72 n crown-step-2-az270
a 37.00 0.74013 84 n crown-step-2-az315
a 27.00 0.58602 96 n crown-step-3-az0
a 27.00 0.63924 12 n crown-step-3-az45
a 27.00 0.58602 24 n crown-step-3-az90
a 27.00 0.63924 36 n crown-step-3-az135
a 27.00 0.58602 48 n crown-step-3-az180
a 27.00 0.63924 60 n crown-step-3-az225
a 27.00 0.58602 72 n crown-step-3-az270
a 27.00 0.63924 84 n crown-step-3-az315
a 0.00 0.37000 96 n T-table
