g 96 0.
I 1.54
H Facetta emerald cut - three step rows
F authored from conventional emerald-cut proportions
a 50.00 0.76604 96 n pav-step-1-az0
a 50.00 0.79453 12 n pav-step-1-az45
a 50.00 0.59598 24 n pav-step-1-az90
a 50.00 0.79453 36 n pav-step-1-az135
a 50.00 0.76604 48 n pav-step-1-az180
a 50.00 0.79453 60 n pav-step-1-az225
a 50.00 0.59598 72 n pav-step-1-az270
a 50.00 0.79453 84 n pav-step-1-az315
a 42.00 0.76807 96 n pav-step-2-az0
a 42.00 0.79295 12 n pav-step-2-az45
a 42.00 0.61953 24 n pav-step-2-az90
a 42.00 0.79295 36 n pav-step-2-az135
a 42.00 0.76807 48 n pav-step-2-az180
a 42.00 0.79295 60 n pav-step-2-az225
a 42.00 0.61953 72 n pav-step-2-az270
a 42.00 0.79295 84 n pav-step-2-az315
a 90.00 1.00000 96 n girdle
a 90.00 1.03718 12 n girdle
a 90.00 0.77800 24 n girdle
a 90.00 1.03718 36 n girdle
a 90.00 1.00000 48 n girdle
a 90.00 1.03718 60 n girdle
a 90.00 0.77800 72 n girdle
a 90.00 1.03718 84 n girdle
a 46.00 0.75407 96 n crown-step-1-az0
a 46.00 0.78082 12 n crown-step-1-az45
a 46.00 0.59438 24 n crown-step-1-az90
a 46.00 0.78082 36 n crown-step-1-az135
a 46.00 0.75407 48 n crown-step-1-az180
a 46.00 0.78082 60 n crown-step-1-az225
a 46.00 0.59438 72 n crown-step-1-az270
a 46.00 0.78082 84 n crown-step-1-az315
a 37.00 0.66340 96 n crown-step-2-az0
a 37.00 0.68578 12 n crown-step-2-az45
a 37.00 0.52980 24 n crown-step-2-az90
a 37.00 0.68578 36 n crown-step-2-az135
a 37.00 0.66340 48 n crown-step-2-az180
a 37.00 0.68578 60 n crown-step-2-az225
a 37.00 0.52980 72 n crown-step-2-az270
a 37.00 0.68578 84 n crown-step-2-az315
a 27.00 0.56660 96 n crown-step-3-az0
a 27.00 0.58348 12 n crown-step-3-az45
a 27.00 0.46581 24 n crown-step-3-az90
a 27.00 0.58348 36 n crown-step-3-az135
a 27.00 0.56660 48 n crown-step-3-az180
a 27.00 0.58348 60 n crown-step-3-az225
a 27.00 0.46581 72 n crown-step-3-az270
a 27.00 0.58348 84 n crown-step-3-az315
a 0.00 0.29896 96 n T-table
