Inner Diameter (mm),Inner Circumference (mm),US Size,UK Size,Europe Size (EU),Japan Size (JP),Hong Kong Size (HK)
13.8,43.3,2.75,E 1/2,43,3,5
14.1,44.3,3,F 1/2,44,4,6
14.5,45.5,3.5,H,46,5,7
14.8,46.5,3.75,H 1/2,47,6,8
15.2,47.7,4.25,I 1/2,48,7,9
15.5,48.7,4.75,J 1/2,49,8,10
15.9,49.9,5.25,K,50,9,11
16.2,50.9,5.5,L,51,10,12
16.6,52.1,6,L 1/2,52,11,13
16.9,53.1,6.5,M 1/2,53,12,14
17.3,54.3,7,N 1/2,54,13.5,15
17.7,55.6,7.5,P,56,14.5,16
18,56.5,7.75,P 1/2,57,15.5,17
18.3,57.5,8.25,Q 1/2,58,16.5,18
18.7,58.7,8.75,R,59,17.5,19
19,59.7,9,S,60,18.5,20
19.4,60.9,9.5,S 1/2,61,19.5,21
19.7,61.9,10,T 1/2,62,20.5,22
20.1,63.1,10.25,U 1/2,63,22,23
20.4,64.1,10.75,V,64,23,24
20.8,65.3,11.25,W,65,24,25
21.1,66.3,11.5,W 1/2,66,25,26
21.5,67.5,12,Z,68,26,27
21.8,68.5,12.5,Z 1/2,69,27,28
22.2,69.7,12.75,Z+1,70,28,29
22.5,70.7,13.25,Z+2,71,31,30
